customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
11460.0,55.0,Male,East,Secondary,Self-Employed,525473.6486960504,1419764.911311372,Education,659.8987967223804,2.0,29.0,21.73294439424233,2021-04-06,0.0
10505.0,46.0,Male,West,Secondary,Self-Employed,266584.8193304401,128159.42207096965,Car,736.196556779658,2.0,38.0,15.948260861592054,2015-01-30,0.0
11283.0,43.88851458188855,Female,East,Post-Graduate,Salaried,464375.1734030679,174613.72592779386,Home,569.8478258526045,1.0,28.0,21.025101132489567,2017-03-20,1.0
10313.0,43.906985095813965,Male,East,Graduate,Salaried,715454.845511711,7322.18658260646,Education,713.8283707633624,1.0,28.0,36.84018736051857,2024-04-05,0.0
10127.0,51.0,Male,West,Graduate,Salaried,473166.2858802545,1361826.5287650607,Car,684.5279712918522,3.0,30.0,18.281480355875967,2020-12-13,0.0
11307.0,27.0,Female,West,Secondary,Salaried,863437.25136961,8822.646434010472,Education,813.1517130717742,1.0,31.0,47.70702913175644,2019-01-25,0.0
11907.0,34.0,Female,East,Primary,Salaried,781203.7440776848,418369.7851164089,Car,651.6915358585208,4.0,25.0,21.921864935565363,2020-01-11,0.0
10705.0,21.0,Male,West,Graduate,Self-Employed,360912.7160173794,358200.04317682097,Car,583.0102030131321,2.0,28.0,31.078953730675345,2023-10-08,0.0
10889.0,32.0,Male,North,Graduate,Self-Employed,633647.2439844446,99481.24188655464,Education,531.0612772427897,2.0,27.0,34.03806178925964,2023-09-09,0.0
11108.0,50.0,Male,East,Post-Graduate,Salaried,312971.1441296719,30263.092843352642,Other,652.7224827975506,6.0,32.0,37.881136557785496,2017-01-20,0.0
10566.0,29.0,Female,West,Secondary,Salaried,727285.1905676749,134292.6257392797,Education,585.6639300300477,3.0,21.0,37.64464435300202,2017-06-21,0.0
11214.0,39.0,Male,East,Post-Graduate,Salaried,158898.56980873708,470452.9431505296,Education,501.75787740195847,1.0,28.0,34.24577545894658,2022-10-21,0.0
11990.0,42.0,Male,South,Post-Graduate,Salaried,620483.2571694835,148069.20763854947,Business,685.0134362639012,2.0,33.0,41.28782414510129,2018-03-29,0.0
10244.0,21.0,Male,North,Primary,Salaried,619956.555480283,21444.710826834373,Home,771.3634468763836,2.220446049250313e-16,27.0,62.24028895986426,2022-05-27,1.0
11538.0,43.0,Other,South,Primary,Salaried,353225.7698869432,28759.84463192831,Home,582.2041452080454,3.0,28.0,58.38758156332872,2017-06-29,0.0
11705.0,43.90251525995131,Male,North,Secondary,Salaried,320907.58122350456,379732.6908844857,Education,529.0553553976644,3.0,31.0,8.452099260292407,2020-05-19,0.0
10929.0,57.0,Male,North,Primary,Salaried,914895.3111130568,5688.897749123687,Car,634.3596119187486,2.0,26.0,45.73461012976932,2018-05-03,0.0
11971.0,36.0,Male,South,Secondary,Salaried,843803.1047761014,1102965.7684502688,Home,653.3588080950449,4.0,26.0,69.74437357830563,2024-04-29,0.0
10565.0,54.0,Male,North,Primary,Salaried,811601.7819591312,11366.869159399648,Business,490.56048302737406,2.0,34.0,55.36839955651325,2020-03-26,0.0
10833.0,55.0,Male,North,Secondary,Self-Employed,762504.7765295424,187125.6768136361,Home,630.5338805301019,1.0,29.0,5.617080276835317,2017-11-21,1.0
11746.0,68.0,Other,West,Post-Graduate,Salaried,871863.934670173,328511.274290293,Home,550.7426884716604,1.0,27.0,31.07550917025925,2023-01-09,0.0
11026.0,53.0,Male,North,Primary,Salaried,479576.2378148288,168733.51601922762,Home,567.3749245592566,1.0,25.0,52.92950636661003,2018-04-15,0.0
10179.0,19.0,Male,South,Post-Graduate,Salaried,696339.4719848344,767946.3513601781,Other,721.0373161305563,2.0,22.0,48.27219493285976,2016-10-15,0.0
10173.0,30.0,Male,East,Graduate,Self-Employed,543076.6960378147,29136.8436231527,Education,518.532567228827,1.0,25.0,62.38178642842114,2024-11-10,1.0
10207.0,68.0,Female,North,Secondary,Salaried,671600.0940453834,237242.8595349225,Other,656.9580327937421,1.0,27.0,20.66175503194149,2021-08-16,0.0
10324.0,52.0,Male,North,Primary,Salaried,373703.7732127236,898114.1964846898,Other,531.7896272814065,3.0,33.0,42.62066074985056,2017-07-20,0.0
10673.0,35.0,Male,West,Post-Graduate,Salaried,621434.416016439,310717.7279237837,Home,617.3934857922377,1.0,36.0,73.24315945781981,2021-12-10,1.0
11628.0,43.0,Male,West,Primary,Salaried,835518.9852748752,328691.3775491977,Business,609.4259971677752,1.0,37.0,65.88615800241733,2020-02-28,0.0
11818.0,67.0,Male,East,Graduate,Salaried,785364.1217481538,402031.38936914125,Business,668.6388656088827,2.0,23.0,63.72331389311263,2015-09-22,0.0
10447.0,40.0,Other,South,Graduate,Salaried,767369.0843774341,1064975.0662146984,Business,682.123737995293,1.0,29.0,36.99594066564906,2017-08-05,0.0
10993.0,64.0,Female,East,Graduate,Salaried,620844.4550689205,323417.99897339003,Home,626.7797795328033,1.0,33.0,8.95227664971835,2023-02-01,0.0
10662.0,62.0,Female,East,Graduate,Salaried,779069.6404052317,78624.04458710906,Car,661.4748109604292,2.220446049250313e-16,35.0,20.859316970170813,2022-03-24,1.0
10641.0,36.0,Male,North,Secondary,Unemployed,1014275.502638041,653862.7058723002,Business,556.3015730422434,3.0,29.0,31.98104746735632,2018-05-19,0.0
10708.0,48.0,Female,West,Primary,Salaried,727227.3594076729,216517.62778674864,Home,550.7762951317865,1.0,36.0,33.302055508617585,2022-12-03,0.0
10317.0,53.0,Male,North,Primary,Salaried,1340217.4226157614,591395.0453567173,Business,649.2755834094191,1.0,23.0,50.43508490930669,2016-02-17,1.0
11149.0,28.0,Male,East,Post-Graduate,Salaried,339329.4309259769,417538.96577796806,Business,634.2821506444884,2.220446049250313e-16,29.0,30.44734654098832,2018-12-31,1.0
10009.0,36.0,Female,North,Primary,Salaried,504877.729289027,271308.7823729298,Home,833.6128537642813,2.0,27.0,39.42553405033299,2019-09-06,0.0
10322.0,65.0,Female,South,Primary,Salaried,331450.735406131,154882.34316380604,Home,689.3279720206815,2.220446049250313e-16,28.0,46.07906078701508,2016-03-06,0.0
10884.0,55.0,Other,South,Secondary,Salaried,631933.6382360749,135901.47939573092,Education,603.0482543383995,1.0,31.0,52.76468033734745,2017-08-12,1.0
10074.0,46.0,Female,South,Secondary,Salaried,582074.8012064601,561247.4720006464,Education,672.2421842671544,2.220446049250313e-16,24.0,44.64996795027233,2015-04-27,0.0
10650.0,64.0,Female,East,Secondary,Salaried,574287.1439777403,242361.2155921261,Education,817.2984095115407,2.220446049250313e-16,31.0,49.71965875353679,2020-09-09,0.0
11211.0,44.0,Other,West,Graduate,Salaried,591573.476334369,40865.79531564715,Other,651.6853908564975,3.0,31.0,27.137505015075615,2017-05-13,0.0
10103.0,42.0,Female,North,Secondary,Self-Employed,658713.3997418778,42463.193091093155,Business,746.1658275978932,1.0,30.0,34.32358936397693,2019-05-26,0.0
